,Fortran,Python,Julia,Octave,R
count,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.010014079570770214,0.47543696784973144,3.763270220518112,0.5186259841918945,1.022983200788498
std,0.0013140257276058108,0.0463828920531449,0.5933965972700682,0.08961987328060383,0.1350292076159577
min,0.0090839862823486,0.3981156349182129,3.0466320514678955,0.3657090663909912,0.7356586456298828
25%,0.0093657970428466,0.4394062757492065,3.120822787284851,0.45873045921325684,0.9474496245384216
50%,0.0095970630645751,0.46953821182250977,3.8017207384109497,0.5082976818084717,1.0118329524993896
75%,0.010306060314178425,0.5030676126480103,4.264931857585907,0.5785653591156006,1.0822281241416931
max,0.0256738662719726,0.6628861427307129,6.857728719711304,1.16046142578125,1.6927728652954102
